연도,2016,2017,2018,2019,2020,2021,2022,2023
어린이 사고건수,4288,4019,3582,3856,2079,2451,2787,2624
어린이 인구수,4731824,4942257,5154578,5370217,5523288,5632833,5736541,5836578
